"","squad_no","country","pos","player","dob","age","caps","goals","club"
"1",1,"US","GK","Alyssa Naeher",1988-04-20,31,43,0,"Chicago Red Stars"
"2",2,"US","FW","Mallory Pugh",1998-04-29,21,50,15,"Washington Spirit"
"3",3,"US","MF","Sam Mewis",1992-10-09,26,47,9,"North Carolina Courage"
"4",4,"US","DF","Becky Sauerbrunn",1985-06-06,34,155,0,"Utah Royals"
"5",5,"US","DF","Kelley O'Hara",1988-08-04,30,115,2,"Utah Royals"
"6",6,"US","MF","Morgan Brian",1993-02-26,26,82,6,"Chicago Red Stars"
"7",7,"US","DF","Abby Dahlkemper",1993-05-13,26,37,0,"North Carolina Courage"
"8",8,"US","MF","Julie Ertz",1992-04-06,27,79,18,"Chicago Red Stars"
"9",9,"US","MF","Lindsey Horan",1994-05-26,25,66,8,"Portland Thorns"
"10",10,"US","FW","Carli Lloyd",1982-07-16,36,271,107,"Sky Blue FC"
"11",11,"US","DF","Ali Krieger",1984-07-28,34,99,1,"Orlando Pride"
"12",12,"US","DF","Tierna Davidson",1998-09-19,20,19,1,"Chicago Red Stars"
"13",13,"US","FW","Alex Morgan",1989-07-02,29,160,101,"Orlando Pride"
"14",14,"US","DF","Emily Sonnett",1993-11-25,25,31,0,"Portland Thorns"
"15",15,"US","FW","Megan Rapinoe",1985-07-05,33,150,44,"Reign FC"
"16",16,"US","MF","Rose Lavelle",1995-05-14,24,24,6,"Washington Spirit"
"17",17,"US","FW","Tobin Heath",1988-05-29,31,147,28,"Portland Thorns"
"18",18,"US","GK","Ashlyn Harris",1985-10-19,33,21,0,"Orlando Pride"
"19",19,"US","DF","Crystal Dunn",1992-07-03,26,83,24,"North Carolina Courage"
"20",20,"US","MF","Allie Long",1987-08-13,31,42,6,"Reign FC"
"21",21,"US","GK","Adrianna Franch",1990-11-12,28,1,0,"Portland Thorns"
"22",22,"US","FW","Jessica McDonald",1988-02-28,31,7,2,"North Carolina Courage"
"23",23,"US","FW","Christen Press",1988-12-29,30,113,47,"Utah Royals"
"24",1,"Thailand","GK","Waraporn Boonsing",1990-02-16,29,87,0,"Bundit Asia"
"25",2,"Thailand","DF","Kanjanaporn Saengkoon",1996-07-18,22,NA,NA,"Bundit Asia"
