"","year","team","score","round","yearly_game_id","team_num","win_status"
"1",1991,"CHN",4,"Group",1,1,"Won"
"2",1991,"NOR",0,"Group",1,2,"Lost"
"3",1991,"DEN",3,"Group",2,1,"Won"
"4",1991,"NZL",0,"Group",2,2,"Lost"
"5",1991,"JPN",0,"Group",3,1,"Lost"
"6",1991,"BRA",1,"Group",3,2,"Won"
"7",1991,"GER",4,"Group",4,1,"Won"
"8",1991,"NGA",0,"Group",4,2,"Lost"
"9",1991,"SWE",2,"Group",5,1,"Lost"
"10",1991,"USA",3,"Group",5,2,"Won"
"11",1991,"TPE",0,"Group",6,1,"Lost"
"12",1991,"ITA",5,"Group",6,2,"Won"
"13",1991,"NOR",4,"Group",7,1,"Won"
"14",1991,"NZL",0,"Group",7,2,"Lost"
"15",1991,"CHN",2,"Group",8,1,"Tie"
"16",1991,"DEN",2,"Group",8,2,"Tie"
"17",1991,"JPN",0,"Group",9,1,"Lost"
"18",1991,"SWE",8,"Group",9,2,"Won"
"19",1991,"ITA",1,"Group",10,1,"Won"
"20",1991,"NGA",0,"Group",10,2,"Lost"
"21",1991,"BRA",0,"Group",11,1,"Lost"
"22",1991,"USA",5,"Group",11,2,"Won"
"23",1991,"TPE",0,"Group",12,1,"Lost"
"24",1991,"GER",3,"Group",12,2,"Won"
"25",1991,"JPN",0,"Group",13,1,"Lost"
"26",1991,"USA",3,"Group",13,2,"Won"
"27",1991,"CHN",4,"Group",14,1,"Won"
"28",1991,"NZL",1,"Group",14,2,"Lost"
"29",1991,"BRA",0,"Group",15,1,"Lost"
"30",1991,"SWE",2,"Group",15,2,"Won"
"31",1991,"NOR",2,"Group",16,1,"Won"
"32",1991,"DEN",1,"Group",16,2,"Lost"
"33",1991,"TPE",2,"Group",17,1,"Won"
"34",1991,"NGA",0,"Group",17,2,"Lost"
"35",1991,"ITA",0,"Group",18,1,"Lost"
"36",1991,"GER",1,"Group",18,2,"Won"
"37",1991,"CHN",0,"Quarter Final",19,1,"Lost"
"38",1991,"SWE",1,"Quarter Final",19,2,"Won"
"39",1991,"USA",7,"Quarter Final",20,1,"Won"
"40",1991,"TPE",0,"Quarter Final",20,2,"Lost"
"41",1991,"DEN",1,"Quarter Final",21,1,"Lost"
"42",1991,"GER",2,"Quarter Final",21,2,"Won"
"43",1991,"NOR",3,"Quarter Final",22,1,"Won"
"44",1991,"ITA",2,"Quarter Final",22,2,"Lost"
"45",1991,"GER",2,"Semi Final",23,1,"Lost"
"46",1991,"USA",5,"Semi Final",23,2,"Won"
"47",1991,"SWE",1,"Semi Final",24,1,"Lost"
"48",1991,"NOR",4,"Semi Final",24,2,"Won"
"49",1991,"SWE",4,"Third Place Playoff",25,1,"Won"
"50",1991,"GER",0,"Third Place Playoff",25,2,"Lost"
"51",1991,"NOR",1,"Final",26,1,"Lost"
"52",1991,"USA",2,"Final",26,2,"Won"
"53",1995,"GER",1,"Group",1,1,"Won"
"54",1995,"JPN",0,"Group",1,2,"Lost"
"55",1995,"SWE",0,"Group",2,1,"Lost"
"56",1995,"BRA",1,"Group",2,2,"Won"
"57",1995,"NOR",8,"Group",3,1,"Won"
"58",1995,"NGA",0,"Group",3,2,"Lost"
"59",1995,"ENG",3,"Group",4,1,"Won"
"60",1995,"CAN",2,"Group",4,2,"Lost"
"61",1995,"USA",3,"Group",5,1,"Tie"
"62",1995,"CHN",3,"Group",5,2,"Tie"
"63",1995,"DEN",5,"Group",6,1,"Won"
"64",1995,"AUS",0,"Group",6,2,"Lost"
"65",1995,"SWE",3,"Group",7,1,"Won"
"66",1995,"GER",2,"Group",7,2,"Lost"
"67",1995,"BRA",1,"Group",8,1,"Lost"
"68",1995,"JPN",2,"Group",8,2,"Won"
"69",1995,"NOR",2,"Group",9,1,"Won"
"70",1995,"ENG",0,"Group",9,2,"Lost"
"71",1995,"NGA",3,"Group",10,1,"Tie"
"72",1995,"CAN",3,"Group",10,2,"Tie"
"73",1995,"USA",2,"Group",11,1,"Won"
"74",1995,"DEN",0,"Group",11,2,"Lost"
"75",1995,"CHN",4,"Group",12,1,"Won"
"76",1995,"AUS",2,"Group",12,2,"Lost"
"77",1995,"SWE",2,"Group",13,1,"Won"
"78",1995,"JPN",0,"Group",13,2,"Lost"
"79",1995,"BRA",1,"Group",14,1,"Lost"
"80",1995,"GER",6,"Group",14,2,"Won"
"81",1995,"NOR",7,"Group",15,1,"Won"
"82",1995,"CAN",0,"Group",15,2,"Lost"
"83",1995,"NGA",2,"Group",16,1,"Lost"
"84",1995,"ENG",3,"Group",16,2,"Won"
"85",1995,"USA",4,"Group",17,1,"Won"
"86",1995,"AUS",1,"Group",17,2,"Lost"
"87",1995,"CHN",3,"Group",18,1,"Won"
"88",1995,"DEN",1,"Group",18,2,"Lost"
"89",1995,"JPN",0,"Quarter Final",19,1,"Lost"
"90",1995,"USA",4,"Quarter Final",19,2,"Won"
"91",1995,"NOR",3,"Quarter Final",20,1,"Won"
"92",1995,"DEN",1,"Quarter Final",20,2,"Lost"
"93",1995,"GER",3,"Quarter Final",21,1,"Won"
"94",1995,"ENG",0,"Quarter Final",21,2,"Lost"
"95",1995,"SWE",1,"Quarter Final",22,1,"Lost"
"96",1995,"CHN",1,"Quarter Final",22,2,"Won"
"97",1995,"USA",0,"Semi Final",23,1,"Lost"
"98",1995,"NOR",1,"Semi Final",23,2,"Won"
"99",1995,"GER",1,"Semi Final",24,1,"Won"
"100",1995,"CHN",0,"Semi Final",24,2,"Lost"
"101",1995,"CHN",0,"Third Place Playoff",25,1,"Lost"
"102",1995,"USA",2,"Third Place Playoff",25,2,"Won"
"103",1995,"GER",0,"Final",26,1,"Lost"
"104",1995,"NOR",2,"Final",26,2,"Won"
"105",1999,"USA",3,"Group",1,1,"Won"
"106",1999,"DEN",0,"Group",1,2,"Lost"
"107",1999,"CHN",2,"Group",2,1,"Won"
"108",1999,"SWE",1,"Group",2,2,"Lost"
